CM30c60	CM30c28	CM30b58	CM30c37	CM30c62	CM30c30	Plot08	Plot03	Plot07	LB1	LB5	CM30b60	Plot04	CM30c39	CM30c51	CM30c53	CM31a5	Plot05	Plot01	CM30c	Plot02	CM30c35	CM30d12	CM30c46	CM30c44	CM30d3	CM30b51	Plot06
M01895_13_000000000-ABYEE_1_1104_21709_9531|gene_18S	0	73	4	3	98	11	44	2	0	3	21	3	28	0	0	15	9	32	0	2	32	0	35	13	0	37	2	16
M01895_13_000000000-ABYEE_1_1112_5243_8887|gene_18S	28	36	52	13	5	29	39	14	35	68	95	5	23	5	3	45	49	192	0	10	3	46	47	13	0	34	37	72
M01895_13_000000000-ABYEE_1_1101_15028_4799|gene_18S	0	64	0	0	0	0	1	0	0	0	0	0	0	0	0	554	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1106_25314_9535|gene_18S	13	18	5	7	7	19	14	17	0	13	66	0	18	1	18	11	73	18	378	20	14	12	4	12	1	23	4	15
M01895_13_000000000-ABYEE_1_1102_12486_5753|gene_18S	4	271	8	23	26	58	46	12	21	8	48	0	35	3	3	12	5	23	0	1	5	11	44	15	16	33	32	0
M01895_13_000000000-ABYEE_1_1101_15335_2238|gene_18S	0	0	27	73	0	0	0	0	0	0	0	2	0	18	100	0	0	11	1	76	0	0	74	0	151	0	0	0
M01895_13_000000000-ABYEE_1_1107_13449_13594|gene_18S	30	12	17	21	25	24	32	7	98	5	50	117	29	19	0	0	0	35	0	3	30	0	17	1	83	1	24	146
M01895_13_000000000-ABYEE_1_1101_10086_9732|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	626	0	0	0	0	0	0	0	0	0	1	0	0
M01895_13_000000000-ABYEE_1_1105_13506_17278|gene_18S	0	0	13	0	0	0	0	0	0	0	0	422	1	29	0	0	0	0	0	0	0	0	0	0	2	0	0	10
M01895_13_000000000-ABYEE_1_1102_22387_21205|gene_18S	43	5	28	59	28	2	97	20	223	22	9	4	33	14	23	22	2	211	6	12	23	64	51	8	4	166	55	96
M01895_13_000000000-ABYEE_1_2103_9476_11693|gene_18S	0	0	0	0	0	1	0	0	0	0	205	0	0	0	0	0	0	3	0	0	0	0	15	4	0	2	188	0
M01895_13_000000000-ABYEE_1_1102_11973_9372|gene_18S	0	0	6	14	0	21	10	5	8	113	79	0	0	2	0	0	0	5	0	0	8	10	4	70	0	13	0	0
M01895_13_000000000-ABYEE_1_1108_4277_11383|gene_18S	49	77	7	16	0	0	8	14	14	6	32	7	0	2	54	57	3	0	2	1	6	0	27	13	40	24	59	7
M01895_13_000000000-ABYEE_1_1110_7900_12714|gene_18S	32	22	36	6	11	7	27	31	26	43	17	6	52	6	11	7	21	48	8	7	15	60	19	6	7	40	28	77
M01895_13_000000000-ABYEE_1_2110_21323_17133|gene_18S	0	0	24	13	0	2	3	5	30	29	112	90	224	7	0	0	0	19	0	0	0	0	0	1	9	19	6	178
M01895_13_000000000-ABYEE_1_1101_8200_5262|gene_18S	1	0	0	0	440	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1105_24867_17221|gene_18S	3	0	0	0	10	0	0	264	0	0	0	0	0	0	26	0	0	36	0	94	6	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_19726_19919|gene_18S	0	0	0	1	0	56	0	0	5	64	28	0	12	2	1	0	0	0	0	0	1	0	15	113	0	36	0	0
M01895_13_000000000-ABYEE_1_1107_7503_8147|gene_18S	0	0	0	0	0	0	30	301	0	1	0	0	0	0	0	0	0	84	0	0	0	0	2	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1103_6511_13623|gene_18S	0	3	0	0	0	0	0	0	0	0	0	1	29	0	0	335	1	0	0	0	0	0	0	0	0	2	0	0
M01895_13_000000000-ABYEE_1_1102_13367_16904|gene_18S	28	8	17	1	51	53	6	6	1	33	101	25	34	10	8	0	0	48	14	1	32	49	27	9	18	39	19	33
M01895_13_000000000-ABYEE_1_1112_13748_16336|gene_18S	0	0	11	6	0	18	16	4	13	103	38	5	3	2	2	6	3	3	1	1	8	7	27	1	0	125	4	0
M01895_13_000000000-ABYEE_1_1104_12759_15441|gene_18S	4	3	26	17	3	0	21	17	111	10	25	11	13	2	42	3	0	24	0	3	25	5	45	30	5	15	18	13
M01895_13_000000000-ABYEE_1_1102_11487_18211|gene_18S	0	4	0	0	0	0	0	6	0	0	0	95	0	0	0	169	73	0	0	22	2	55	0	0	0	1	15	0
M01895_13_000000000-ABYEE_1_1105_23605_9911|gene_18S	3	0	0	0	0	0	0	0	0	137	1	0	0	43	0	0	0	0	0	0	0	1	108	32	0	71	0	0
M01895_13_000000000-ABYEE_1_1101_11575_16249|gene_18S	34	4	23	3	13	11	67	117	20	29	12	62	33	19	29	0	8	61	7	12	45	17	22	16	18	72	21	10
M01895_13_000000000-ABYEE_1_1106_13039_15544|gene_18S	10	0	0	4	0	0	100	9	0	19	77	0	0	6	0	0	2	0	0	3	89	0	14	2	0	5	0	0
M01895_13_000000000-ABYEE_1_1101_23408_16505|gene_18S	0	16	14	1	5	78	48	4	0	13	59	0	14	0	1	62	0	32	0	2	0	0	4	0	0	2	4	0
M01895_13_000000000-ABYEE_1_1101_14596_7802|gene_18S	92	69	26	3	23	39	61	31	28	47	55	5	11	1	2	35	13	27	5	53	54	5	22	6	5	9	13	3
M01895_13_000000000-ABYEE_1_2114_6775_11830|gene_18S	0	0	1	18	6	0	0	1	0	0	0	0	17	2	0	0	1	7	0	0	0	0	4	0	0	1	353	0
M01895_13_000000000-ABYEE_1_1101_19044_2286|gene_18S	0	0	0	0	0	0	0	0	188	0	0	0	0	348	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_14974_19851|gene_18S	13	20	70	85	13	9	62	34	171	52	21	35	0	20	35	3	1	53	4	4	61	118	19	43	12	92	9	105
M01895_13_000000000-ABYEE_1_2101_19140_5735|gene_18S	2	2	2	5	0	0	6	6	3	7	5	6	3	1	66	3	0	7	219	2	0	0	12	31	0	10	20	3
M01895_13_000000000-ABYEE_1_1101_6865_5201|gene_18S	1	1	10	65	10	0	27	17	20	0	4	5	57	1	7	0	5	10	3	4	19	37	1	1	25	1	22	51
M01895_13_000000000-ABYEE_1_1101_13773_14344|gene_18S	25	88	6	1	52	0	3	50	18	1	3	0	73	1	16	13	36	2	77	15	9	60	1	4	0	13	2	12
M01895_13_000000000-ABYEE_1_1102_13240_12480|gene_18S	17	18	0	0	0	0	3	0	0	0	0	0	0	0	0	1	0	0	0	0	376	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2109_19535_10639|gene_18S	3	0	5	24	0	1	1	21	2	19	3	0	0	0	73	0	65	55	0	3	0	4	7	34	0	16	4	6
M01895_13_000000000-ABYEE_1_2107_20359_22661|gene_18S	39	57	19	11	67	18	29	59	0	38	27	3	8	2	10	29	57	22	3	21	47	37	27	17	1	23	11	15
M01895_13_000000000-ABYEE_1_1102_13455_3708|gene_18S	22	0	89	6	10	19	17	49	149	28	36	2	39	1	13	17	1	11	11	3	37	57	12	14	0	74	5	45
M01895_13_000000000-ABYEE_1_1101_17702_5933|gene_18S	0	1	0	0	0	0	0	0	0	0	0	1	377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1112_10715_4603|gene_18S	7	2	8	16	8	0	1	0	166	0	0	7	4	12	60	0	4	22	0	4	1	35	0	0	2	1	2	33
M01895_13_000000000-ABYEE_1_1104_15659_1768|gene_18S	32	21	8	2	0	69	6	6	4	46	67	1	28	0	2	26	16	1	2	8	2	4	8	35	0	12	37	0
M01895_13_000000000-ABYEE_1_1102_12555_17194|gene_18S	0	0	16	38	0	0	122	0	142	0	0	8	0	3	0	0	0	0	0	2	1	0	0	0	0	6	0	20
M01895_13_000000000-ABYEE_1_1108_23428_17633|gene_18S	4	35	34	0	19	1	1	55	0	1	2	0	68	0	0	140	4	15	0	13	4	139	0	1	0	0	1	0
M01895_13_000000000-ABYEE_1_1104_16384_13447|gene_18S	7	5	7	10	8	3	6	162	1	5	12	0	57	1	0	5	3	44	3	14	3	11	1	2	0	2	9	15
M01895_13_000000000-ABYEE_1_1111_12957_19958|gene_18S	20	16	10	15	7	20	10	9	9	43	9	5	2	2	6	4	15	22	0	11	8	39	6	1	1	59	10	24
M01895_13_000000000-ABYEE_1_1111_25036_4988|gene_18S	0	40	0	7	0	126	4	31	0	24	3	6	20	2	0	121	0	1	0	27	2	0	22	28	0	20	43	0
M01895_13_000000000-ABYEE_1_1113_5276_17500|gene_18S	4	17	16	4	21	21	30	45	15	9	57	11	149	4	16	13	41	18	17	13	15	24	15	12	2	34	35	31
M01895_13_000000000-ABYEE_1_1112_26817_20228|gene_18S	4	23	4	12	5	62	5	7	1	17	34	1	24	2	2	31	16	76	4	14	26	14	11	35	1	13	38	20
M01895_13_000000000-ABYEE_1_2101_21481_27533|gene_18S	3	4	22	36	3	13	5	5	11	40	35	20	36	2	8	3	52	5	6	3	2	11	17	1	4	116	65	25
M01895_13_000000000-ABYEE_1_1103_17729_13225|gene_18S	0	0	4	2	0	0	21	112	0	7	7	5	51	0	0	6	0	75	0	0	0	1	3	0	0	10	10	0
M01895_13_000000000-ABYEE_1_1106_12892_16897|gene_18S	7	0	14	6	2	1	18	32	39	7	0	15	25	13	33	0	0	27	20	2	1	6	14	1	30	19	7	39
M01895_13_000000000-ABYEE_1_1101_22448_17814|gene_18S	3	2	2	3	5	100	8	0	7	48	148	6	195	0	0	12	7	5	2	0	2	20	9	7	0	28	8	15
M01895_13_000000000-ABYEE_1_1101_9308_13393|gene_18S	0	72	0	0	17	0	91	0	0	0	0	22	0	0	0	11	6	1	0	10	0	0	42	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2101_3755_13353|gene_18S	12	18	3	3	0	48	24	9	1	22	50	0	11	9	0	7	2	6	0	7	1	0	15	12	1	8	23	14
M01895_13_000000000-ABYEE_1_1101_12949_3571|gene_18S	0	0	0	0	0	0	0	0	0	0	332	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_2112_18230_16047|gene_18S	42	45	25	25	48	25	36	89	26	37	80	6	48	7	19	35	8	115	7	13	63	37	8	17	20	33	3	52
M01895_13_000000000-ABYEE_1_1113_12154_21516|gene_18S	34	5	45	55	2	95	141	118	12	186	50	72	12	5	24	0	14	54	642	11	43	59	8	8	37	147	42	107
M01895_13_000000000-ABYEE_1_1104_14269_13512|gene_18S	10	174	2	0	9	0	4	1	0	0	0	0	1	0	0	66	0	1	0	6	3	1	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_10679_22312|gene_18S	55	49	15	18	5	69	36	25	30	89	103	23	10	32	10	52	46	16	3	23	58	28	41	18	3	56	78	27
M01895_13_000000000-ABYEE_1_1101_10782_18786|gene_18S	0	0	147	0	0	0	0	0	0	0	0	0	0	0	0	0	28	21	0	0	0	149	0	0	0	0	0	8
M01895_13_000000000-ABYEE_1_1114_8496_8400|gene_18S	22	27	29	15	24	34	29	41	35	51	105	22	113	13	16	20	22	47	11	17	16	57	33	12	12	106	28	46
M01895_13_000000000-ABYEE_1_1101_11835_5638|gene_18S	0	0	0	0	0	1	65	0	0	0	278	0	0	0	0	0	0	0	0	0	0	0	2	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_18802_9701|gene_18S	0	1	0	0	0	0	20	0	0	0	0	0	0	0	0	0	0	262	0	0	0	0	0	12	0	0	1	0
M01895_13_000000000-ABYEE_1_1105_10164_5373|gene_18S	28	37	13	3	42	10	31	21	4	13	15	2	23	2	6	20	19	77	15	36	88	84	7	13	0	56	18	28
M01895_13_000000000-ABYEE_1_1101_10981_9223|gene_18S	7	19	8	2	11	4	8	7	5	31	17	5	45	10	11	17	46	48	8	11	8	7	5	0	0	49	10	15
M01895_13_000000000-ABYEE_1_1102_17276_16723|gene_18S	55	4	6	4	0	0	30	90	0	0	0	55	20	7	0	1	0	40	0	5	2	6	38	0	0	8	23	24
M01895_13_000000000-ABYEE_1_1101_11779_11862|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	64	0	271	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_13574_5981|gene_18S	0	0	1	9	0	0	6	32	53	13	7	10	0	9	6	0	0	57	0	0	1	11	1	1	52	11	15	20
M01895_13_000000000-ABYEE_1_2109_19172_15223|gene_18S	7	19	5	9	8	3	9	17	2	8	19	7	162	0	10	3	61	11	10	11	11	7	9	4	4	11	6	6
M01895_13_000000000-ABYEE_1_1111_20346_7616|gene_18S	0	0	0	7	0	0	242	0	0	0	0	0	0	0	0	0	0	3	0	0	47	0	3	2	0	3	0	0
M01895_13_000000000-ABYEE_1_1101_7735_5541|gene_18S	4	0	1	11	1	0	0	0	319	4	0	3	23	0	3	3	0	5	0	0	0	0	0	0	20	14	2	0
M01895_13_000000000-ABYEE_1_1104_8279_23715|gene_18S	25	4	1	0	0	14	1	3	6	0	11	8	7	0	11	0	0	2	0	0	18	0	0	0	225	0	15	11
M01895_13_000000000-ABYEE_1_1102_3193_13930|gene_18S	30	23	4	2	15	6	8	10	0	0	1	9	26	0	7	13	24	20	2	36	33	50	20	7	0	7	3	8
M01895_13_000000000-ABYEE_1_1109_13653_26456|gene_18S	1	43	13	24	66	28	81	4	27	79	80	3	19	40	3	20	6	39	0	12	59	249	12	6	0	105	4	15
M01895_13_000000000-ABYEE_1_1101_14353_15208|gene_18S	1	0	32	4	3	10	0	0	0	0	4	0	4	0	0	0	0	5	0	0	0	18	3	0	0	197	1	0
M01895_13_000000000-ABYEE_1_1102_18216_14773|gene_18S	62	8	4	6	0	8	4	16	3	9	19	0	22	0	0	18	13	17	0	0	12	14	4	11	8	33	19	5
M01895_13_000000000-ABYEE_1_1103_7805_14450|gene_18S	0	9	7	0	0	8	4	2	0	68	102	0	1	2	0	2	17	2	0	0	10	2	5	20	0	0	0	0
M01895_13_000000000-ABYEE_1_1111_19034_10247|gene_18S	0	0	2	1	0	1	0	0	0	56	0	2	0	0	0	0	0	0	0	0	0	0	181	0	0	42	0	0
M01895_13_000000000-ABYEE_1_1101_17739_8405|gene_18S	0	0	8	12	0	0	3	0	1	0	7	0	259	0	0	2	0	15	0	0	0	0	6	0	0	238	0	14
M01895_13_000000000-ABYEE_1_1103_21314_5144|gene_18S	19	3	0	0	0	85	1	5	0	38	60	2	57	6	0	12	3	5	1	0	1	2	16	19	0	18	6	2
M01895_13_000000000-ABYEE_1_1101_13950_4168|gene_18S	0	67	44	0	6	37	0	0	0	3	3	1	7	0	59	11	0	0	0	0	8	0	0	0	0	0	1	0
M01895_13_000000000-ABYEE_1_1101_21863_4813|gene_18S	0	0	0	5	0	0	0	0	0	0	0	29	229	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_24348_7252|gene_18S	8	1	1	12	84	0	33	3	15	6	6	2	52	5	56	5	0	59	1	5	6	1	5	1	0	159	12	15
M01895_13_000000000-ABYEE_1_2110_6674_5095|gene_18S	407	936	240	341	693	50	654	343	171	175	271	174	462	82	192	1117	173	825	59	356	147	218	154	136	23	480	68	116
M01895_13_000000000-ABYEE_1_1101_9533_3391|gene_18S	0	0	0	0	335	0	0	0	0	0	0	0	0	0	0	23	1	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1103_23201_17408|gene_18S	23	19	24	9	2	16	45	19	6	151	15	9	23	6	11	13	52	18	5	6	14	29	41	29	7	87	47	18
M01895_13_000000000-ABYEE_1_1101_23775_25052|gene_18S	144	7	1	0	0	0	0	7	0	0	0	0	0	0	0	4	0	0	1	0	0	29	72	0	0	0	8	0
M01895_13_000000000-ABYEE_1_1104_7880_13752|gene_18S	10	10	32	5	13	1	18	11	5	21	11	5	6	1	0	1	7	6	0	8	25	20	13	4	0	52	4	25
M01895_13_000000000-ABYEE_1_2111_7492_20035|gene_18S	5	0	0	3	3	0	0	0	0	0	0	4	10	0	0	3	0	0	0	13	0	8	0	0	0	185	20	4
M01895_13_000000000-ABYEE_1_2105_21537_11573|gene_18S	0	0	8	12	0	9	0	0	0	34	28	0	123	0	0	0	0	7	0	0	0	0	6	8	0	24	3	5
M01895_13_000000000-ABYEE_1_1101_9494_16299|gene_18S	0	0	6	6	0	0	0	0	0	0	12	13	50	0	0	2	0	5	0	0	18	0	11	2	0	95	9	0
M01895_13_000000000-ABYEE_1_1102_18861_6080|gene_18S	7	65	7	3	8	13	28	16	1	4	24	4	31	5	7	15	14	25	7	13	16	4	11	8	0	11	9	12
M01895_13_000000000-ABYEE_1_1101_12085_22585|gene_18S	13	106	0	5	11	66	10	3	0	24	145	0	10	0	2	32	1	1	1	1	3	21	6	36	0	15	2	0
M01895_13_000000000-ABYEE_1_2114_20647_14917|gene_18S	2	4	3	1	0	1	2	14	3	2	22	2	118	3	0	0	0	113	0	0	0	0	6	15	2	9	17	8
M01895_13_000000000-ABYEE_1_1103_19706_7640|gene_18S	0	11	7	7	0	5	3	7	18	11	26	1	319	0	0	28	2	0	1	0	0	5	8	6	2	11	24	11
M01895_13_000000000-ABYEE_1_1109_7201_4438|gene_18S	7	5	5	4	4	5	12	0	2	29	15	5	21	2	2	3	12	8	1	5	9	1	16	7	1	56	18	10
M01895_13_000000000-ABYEE_1_1102_10318_11850|gene_18S	0	0	0	0	0	186	17	0	0	35	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_16964_17863|gene_18S	16	24	8	16	10	4	15	7	128	11	30	32	59	14	7	11	11	59	15	4	3	34	7	5	35	39	40	62
M01895_13_000000000-ABYEE_1_1103_15504_22855|gene_18S	4	0	3	0	0	0	17	39	11	0	4	1	1	0	0	0	0	15	1	9	1	0	0	0	0	0	135	31
M01895_13_000000000-ABYEE_1_1110_19210_19805|gene_18S	1	2	4	8	0	55	15	13	89	107	59	15	11	9	3	1	24	38	1	0	2	10	21	1	2	44	16	61
M01895_13_000000000-ABYEE_1_2112_13401_11306|gene_18S	16	1	81	16	8	0	2	7	40	12	6	6	0	0	16	0	14	1	6	4	7	29	9	1	0	35	2	19
M01895_13_000000000-ABYEE_1_2107_17164_23984|gene_18S	11	3	1	5	12	9	21	37	47	0	0	3	0	2	17	0	7	24	0	2	2	9	11	0	6	26	2	1
M01895_13_000000000-ABYEE_1_2105_6024_13782|gene_18S	32	14	46	48	37	17	73	52	73	44	68	43	146	50	129	23	201	109	32	27	43	80	53	16	38	162	54	108
M01895_13_000000000-ABYEE_1_1101_10510_13932|gene_18S	33	125	134	32	18	111	35	58	41	86	224	5	60	11	14	57	22	43	4	64	54	31	60	29	4	66	97	31
M01895_13_000000000-ABYEE_1_2110_23405_18189|gene_18S	21	3	9	7	1	11	23	10	33	13	25	5	103	6	2	9	5	26	5	8	14	19	5	0	5	15	14	10
M01895_13_000000000-ABYEE_1_1102_15923_17718|gene_18S	28	0	5	3	11	0	62	25	2	7	0	3	5	51	18	0	34	5	1	12	58	8	23	30	0	15	0	10
M01895_13_000000000-ABYEE_1_1101_21041_8140|gene_18S	0	8	0	0	0	0	0	3	0	0	0	0	0	0	0	0	148	0	41	30	0	46	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_16917_22553|gene_18S	81	15	14	26	19	20	36	10	18	44	38	11	9	27	15	23	24	22	0	12	52	28	30	16	5	28	7	25
M01895_13_000000000-ABYEE_1_1106_19773_23233|gene_18S	1	16	11	8	3	19	54	20	3	47	19	5	7	6	0	24	1	15	0	6	45	6	45	13	0	127	2	6
M01895_13_000000000-ABYEE_1_1101_11216_6936|gene_18S	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	40	0	210	0	0	0	0
M01895_13_000000000-ABYEE_1_1113_24467_23215|gene_18S	53	46	7	0	11	10	6	12	0	4	6	3	2	0	5	14	25	5	0	14	5	12	6	6	0	9	3	5
M01895_13_000000000-ABYEE_1_1101_20068_22510|gene_18S	3	1	0	4	42	1	0	0	0	0	6	36	202	0	0	0	0	8	0	0	0	0	0	0	1	0	5	3
M01895_13_000000000-ABYEE_1_1102_4161_11950|gene_18S	194	3	1	0	4	15	0	39	0	3	2	14	18	0	14	10	5	3	46	4	30	1	2	4	12	11	6	1
M01895_13_000000000-ABYEE_1_1102_9188_16226|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	34	0	0	0	0	0	0	0	0	0	0	0	136	0	82	0
M01895_13_000000000-ABYEE_1_1103_10263_10567|gene_18S	0	0	0	0	0	0	0	0	0	8	0	15	7	0	0	0	0	0	29	10	0	0	4	0	225	0	27	6
M01895_13_000000000-ABYEE_1_1109_19502_18002|gene_18S	5	1	10	14	1	2	21	17	3	6	4	3	38	4	16	7	0	116	5	8	10	1	45	31	6	3	8	20
M01895_13_000000000-ABYEE_1_1104_10669_13648|gene_18S	5	4	1	4	13	0	31	3	0	1	0	20	4	0	40	4	1	9	2	8	5	69	0	3	0	2	1	12
M01895_13_000000000-ABYEE_1_1106_6741_5308|gene_18S	10	1	10	11	3	5	8	15	43	11	2	27	1	2	15	0	6	14	12	5	4	19	10	8	15	38	10	14
M01895_13_000000000-ABYEE_1_1113_11704_5668|gene_18S	8	0	0	5	0	4	34	0	42	35	37	0	5	8	0	0	0	0	0	3	16	0	9	9	8	118	0	2
M01895_13_000000000-ABYEE_1_1113_13418_18031|gene_18S	12	2	5	10	6	3	134	10	24	20	23	16	79	2	15	7	4	14	27	5	2	41	33	8	10	22	3	22
M01895_13_000000000-ABYEE_1_1102_16172_26325|gene_18S	31	0	6	9	1	0	19	26	58	1	2	27	3	12	12	0	2	32	2	1	7	6	11	0	2	1	2	4
M01895_13_000000000-ABYEE_1_1108_13197_21754|gene_18S	0	0	1	1	0	4	3	83	14	1	4	2	24	2	0	0	0	13	48	4	0	0	0	0	6	25	7	24
M01895_13_000000000-ABYEE_1_1106_14442_4748|gene_18S	9	18	7	10	0	11	38	8	8	48	31	3	6	0	7	2	4	10	1	4	61	62	9	36	0	20	0	4
M01895_13_000000000-ABYEE_1_1102_16342_20599|gene_18S	57	2	31	32	17	29	43	7	0	31	16	7	30	0	0	43	3	41	8	93	2	0	27	11	31	103	3	13
M01895_13_000000000-ABYEE_1_1101_13733_16818|gene_18S	36	11	6	3	3	0	0	17	57	1	3	2	4	5	6	14	17	5	33	19	1	21	8	2	11	0	6	25
M01895_13_000000000-ABYEE_1_1110_21401_9918|gene_18S	9	0	0	3	0	1	2	35	7	26	8	10	1	10	3	0	0	3	1	0	0	8	5	5	1	87	0	0
M01895_13_000000000-ABYEE_1_1108_12771_16883|gene_18S	0	18	3	1	2	21	22	0	29	1	2	0	0	0	0	33	3	0	0	2	1	0	2	80	0	2	0	0
M01895_13_000000000-ABYEE_1_1114_20259_10636|gene_18S	33	13	9	14	19	9	94	29	69	24	34	36	122	16	31	11	15	18	34	7	14	38	22	1	32	45	17	25
M01895_13_000000000-ABYEE_1_1101_14506_7940|gene_18S	8	2	131	0	0	7	5	0	1	3	1	1	0	0	0	0	1	0	0	104	0	1	1	0	0	1	1	0
M01895_13_000000000-ABYEE_1_1109_6894_7396|gene_18S	0	0	1	7	0	0	0	1	12	0	0	1	15	1	4	0	152	17	0	0	0	0	0	8	0	1	0	1
M01895_13_000000000-ABYEE_1_1101_18230_17088|gene_18S	0	11	1	0	0	31	3	0	4	13	110	1	25	0	0	16	0	1	0	0	0	0	8	9	0	23	7	1
M01895_13_000000000-ABYEE_1_1101_12084_6160|gene_18S	15	21	3	2	72	0	7	12	0	6	59	12	16	0	2	0	0	14	9	6	43	41	1	1	0	31	1	0
M01895_13_000000000-ABYEE_1_1112_6803_22009|gene_18S	15	9	5	4	0	34	17	7	43	23	72	14	2	3	12	7	4	29	1	1	4	1	16	2	1	32	8	13
M01895_13_000000000-ABYEE_1_1107_11772_26305|gene_18S	35	28	12	6	25	71	148	29	33	59	68	7	21	3	8	18	22	20	4	13	24	31	25	5	1	80	23	3
M01895_13_000000000-ABYEE_1_1107_6571_5670|gene_18S	24	21	19	9	11	33	16	27	9	15	41	4	7	0	6	18	3	15	1	9	9	27	9	15	0	21	9	27
M01895_13_000000000-ABYEE_1_1101_2442_16903|gene_18S	0	0	0	2	1	0	0	0	0	0	15	0	72	0	1	21	0	1	2	0	0	25	4	0	6	7	20	8
M01895_13_000000000-ABYEE_1_1110_8238_15837|gene_18S	0	0	0	0	1	107	1	0	0	27	31	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_10912_11429|gene_18S	132	0	75	185	0	0	0	0	1	7	13	0	0	12	75	1	0	0	1	2	0	0	0	0	82	0	0	284
M01895_13_000000000-ABYEE_1_1102_14831_15711|gene_18S	45	168	8	5	25	1	6	12	7	12	32	6	23	0	6	42	6	3	3	13	5	29	10	1	4	52	24	17
M01895_13_000000000-ABYEE_1_1102_22760_10119|gene_18S	8	0	0	0	0	69	1	0	0	1	65	3	11	0	0	12	0	5	0	0	0	1	26	0	2	13	37	301
M01895_13_000000000-ABYEE_1_1101_18326_5558|gene_18S	0	0	0	0	0	0	0	0	0	0	0	0	209	0	0	3	0	0	0	0	0	0	0	0	2	0	0	0
M01895_13_000000000-ABYEE_1_1107_22822_12434|gene_18S	61	107	22	22	34	67	35	41	42	126	130	37	85	9	35	74	38	52	35	29	33	42	51	27	26	146	74	34
M01895_13_000000000-ABYEE_1_2112_21105_17901|gene_18S	11	3	2	6	9	1	15	10	1	4	0	1	47	1	6	3	12	6	20	2	8	13	3	0	6	9	8	7
M01895_13_000000000-ABYEE_1_1101_8864_20601|gene_18S	12	8	3	4	56	0	0	7	0	1	3	0	5	0	39	19	6	9	2	9	10	29	4	1	0	0	2	22
M01895_13_000000000-ABYEE_1_1105_6786_14660|gene_18S	1	1	0	8	6	7	6	1	0	17	10	3	177	0	0	2	0	0	19	0	0	0	2	1	2	11	24	1
M01895_13_000000000-ABYEE_1_2102_22042_9867|gene_18S	2	22	0	0	1	0	0	65	0	0	3	1	0	0	0	3	0	0	0	0	0	0	8	71	0	3	0	0
M01895_13_000000000-ABYEE_1_1106_6587_23628|gene_18S	8	0	1	7	0	1	15	0	0	11	5	2	16	3	2	4	0	6	0	10	60	1	11	0	0	26	1	1
M01895_13_000000000-ABYEE_1_1101_4124_8132|gene_18S	0	0	2	5	0	1	31	0	21	24	0	11	122	0	0	0	55	1	27	4	0	0	1	0	0	0	0	15
M01895_13_000000000-ABYEE_1_2112_11896_24054|gene_18S	4	0	13	3	0	0	0	1	58	0	0	5	3	2	13	0	0	77	2	0	2	0	2	0	3	0	7	21
M01895_13_000000000-ABYEE_1_1101_20205_16620|gene_18S	0	1	0	0	0	0	1	6	0	0	0	0	359	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1114_10845_22225|gene_18S	31	1	0	0	112	0	3	2	3	0	0	3	4	1	1	9	0	54	3	1	14	6	0	1	1	0	5	11
M01895_13_000000000-ABYEE_1_1101_16279_17377|gene_18S	0	9	0	0	0	57	0	0	0	19	51	0	0	0	0	17	0	0	0	0	0	0	0	0	0	0	0	0
M01895_13_000000000-ABYEE_1_1101_8791_16748|gene_18S	32	24	0	0	0	0	0	0	0	0	0	0	98	0	0	13	0	0	0	11	0	0	1	0	0	1	3	0
M01895_13_000000000-ABYEE_1_2107_23491_22074|gene_18S	4	129	0	0	0	0	12	1	0	0	0	0	0	1	3	0	5	1	0	0	14	1	0	0	0	0	0	6
